name,time (ms),programs enumerated,solution,size,size (raw)
sypet_04_evaluate,0,3,sypet_04_evaluate_0.java,2,2
sypet_04_evaluate,0,2,sypet_04_evaluate_1.java,2,2
sypet_04_evaluate,0,5,sypet_04_evaluate_2.java,2,2
sypet_04_evaluate,0,3,sypet_04_evaluate_3.java,2,2
sypet_04_evaluate,0,1,sypet_04_evaluate_4.java,2,2
sypet_02_getInnerProduct,4,520,sypet_02_getInnerProduct_0.java,3,3
sypet_02_getInnerProduct,1,77,sypet_02_getInnerProduct_1.java,3,3
sypet_02_getInnerProduct,2,224,sypet_02_getInnerProduct_2.java,3,3
sypet_02_getInnerProduct,5,784,sypet_02_getInnerProduct_3.java,3,3
sypet_02_getInnerProduct,1,173,sypet_02_getInnerProduct_4.java,3,3
sypet_06_solveLinear,11679,1714045,sypet_06_solveLinear_0.java,7,7
sypet_06_solveLinear,12197,2042023,sypet_06_solveLinear_1.java,7,7
sypet_06_solveLinear,5267,850290,sypet_06_solveLinear_2.java,7,7
sypet_06_solveLinear,3874,609840,sypet_06_solveLinear_3.java,7,7
sypet_06_solveLinear,11779,1973013,sypet_06_solveLinear_4.java,7,7
sypet_06_solveLinearMatrixInput,40538,5575943,sypet_06_solveLinearMatrixInput_0.java,6,6
sypet_06_solveLinearMatrixInput,113,11620,sypet_06_solveLinearMatrixInput_1.java,6,6
sypet_06_solveLinearMatrixInput,19356,2600131,sypet_06_solveLinearMatrixInput_2.java,6,6
sypet_06_solveLinearMatrixInput,656,69211,sypet_06_solveLinearMatrixInput_3.java,6,6
sypet_06_solveLinearMatrixInput,59302,8182565,sypet_06_solveLinearMatrixInput_4.java,6,6
sypet_07_getOuterProduct,120,21347,sypet_07_getOuterProduct_0.java,4,4
sypet_07_getOuterProduct,70,12040,sypet_07_getOuterProduct_1.java,4,4
sypet_07_getOuterProduct,248,45089,sypet_07_getOuterProduct_2.java,4,4
sypet_07_getOuterProduct,86,14898,sypet_07_getOuterProduct_3.java,4,4
sypet_07_getOuterProduct,188,33990,sypet_07_getOuterProduct_4.java,4,5
sypet_03_findRoots,1,3,sypet_03_findRoots_0.java,3,3
sypet_03_findRoots,0,1,sypet_03_findRoots_1.java,3,3
sypet_03_findRoots,0,1,sypet_03_findRoots_2.java,3,3
sypet_03_findRoots,0,1,sypet_03_findRoots_3.java,3,3
sypet_03_findRoots,0,2,sypet_03_findRoots_4.java,3,3
sypet_01_invert,1,143,sypet_01_invert_0.java,3,3
sypet_01_invert,0,37,sypet_01_invert_1.java,3,3
sypet_01_invert,2,286,sypet_01_invert_2.java,3,3
sypet_01_invert,1,92,sypet_01_invert_3.java,3,3
sypet_01_invert,2,254,sypet_01_invert_4.java,3,3
elasticsearch_convert,11,1583,elasticsearch_convert_0.java,4,4
elasticsearch_convert,2,183,elasticsearch_convert_1.java,6,6
elasticsearch_convert,1,115,elasticsearch_convert_2.java,4,4
elasticsearch_convert,1,203,elasticsearch_convert_3.java,4,4
elasticsearch_convert,2,291,elasticsearch_convert_4.java,4,4
sypet_08_predict,1,29,sypet_08_predict_0.java,4,4
sypet_08_predict,5,355,sypet_08_predict_1.java,4,4
sypet_08_predict,0,16,sypet_08_predict_2.java,4,4
sypet_08_predict,0,7,sypet_08_predict_3.java,4,4
sypet_08_predict,4,484,sypet_08_predict_4.java,4,4
sypet_09_eigenvalue,1,24,sypet_09_eigenvalue_0.java,4,4
sypet_09_eigenvalue,1,85,sypet_09_eigenvalue_1.java,4,4
sypet_09_eigenvalue,1,41,sypet_09_eigenvalue_2.java,4,4
sypet_09_eigenvalue,0,9,sypet_09_eigenvalue_3.java,4,4
sypet_09_eigenvalue,0,13,sypet_09_eigenvalue_4.java,4,4
ruse_user_names_aliasing,3599999,477053889,Timeout,,
